Key,English [en-GB]
066_B,"On the next two sources of damage to you, suffer <nobr>no damage instead.</nobr>"
069_T_1,"On your next four attacks, <nobr>add +*TActive* Attack <sprite name=Attack>.</nobr>"
069_T_1_Alt,"On your next four attacks, <nobr>add +2 Attack <sprite name=Attack>.</nobr>"
069_T_2,Add +2 Attack <sprite name=Attack> instead.
070_T,Affect self and all adjacent allies
071_T,Summon Mystic Ally
076_B_1,where X is half of that ally's maximum hit point value <nobr>(rounded down).</nobr>
076_B_2,X is that ally's maximum hit point value instead.
079_B,"On the next five melee attacks targeting you, gain <nobr>Retaliate <sprite name=Retaliate> *BRetaliate*.</nobr>"
080_B,Summon Burning Avatar
080_T,"All enemies adjacent to the <nobr>target suffer 2 damage, <sprite name=XP1>.</nobr>"
082_T,Recover <sprite name=Recover> up to two of your burned cards.
084_T_1,Loot <sprite name=Loot> 3 instead. <sprite name=XP1>
084_T_2,You may not loot more than four money tokens or treasure tiles with this action.
085_B,"On the next three sources of damage from attacks targeting you, suffer no damage instead and gain <nobr>Retaliate <sprite name=Retaliate> 3,</nobr> <nobr>Range <sprite name=Range> 3.</nobr>"
086_B_1,Choose a hex within <nobr>Range <sprite name=Range> 4.</nobr>
086_B_2,Target all enemies within <nobr>Range <sprite name=Range> 4</nobr> of the chosen hex and pull them toward it
087_T_1,Target all enemies in the same room as you
087_T_2,All allies in the same room as you suffer 2 damage.
088_B,"On your next four attacks targeting enemies adjacent to none of their allies, add <nobr>+2 Attack <sprite name=Attack>.</nobr>"
088_T,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> when the target is adjacent to any <nobr>of your allies.</nobr>
090_T,"On your next attack while <nobr>INVISIBLE <sprite name=Invisible></nobr>, double the value of the attack and gain <sprite name=XP2>."
091_T,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> when the target is adjacent to none of its allies.
092_T,Disarm one adjacent trap.
097_B_1,Force one adjacent enemy to perform
097_B_2,"with you controlling the action, and ending in a hex adjacent to you."
097_T_1,Add <nobr>+1 Attack <sprite name=Attack></nobr> for each of your allies adjacent to the target.
097_T_2,"Add <nobr>+2 Attack <sprite name=Attack></nobr> instead, <sprite name=XP1>."
098_B,"The next time you suffer damage this round, suffer no damage instead."
098_T,Add +X Attack <sprite name=Attack> where X is double the Shield value of the target.
099_B,Loot <sprite name=Loot> every hex you enter with this action.
100_T,Add WOUND <sprite name=Wound> and gain <sprite name=XP1> when the target is adjacent to any <nobr>of your allies.</nobr>
103_B,Add +2 Attack <sprite name=Attack> to all your attacks this round targeting enemies adjacent to none of their allies.
104_B,Gain advantage on all of your attacks this round.
105_T_1,Add <nobr>+3 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> when the target is adjacent to any <nobr>of your allies.</nobr>
105_T_2,Add <nobr>+3 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> when the target is adjacent to none <nobr>of its allies.</nobr>
106_B,"On your next six attacks targeting enemies with <nobr>DISARM <sprite name=Disarm></nobr>, <nobr>IMMOBILIZE <sprite name=Immobilize></nobr> or <nobr>STUN <sprite name=Stun></nobr>, <nobr>add +2 Attack <sprite name=Attack>.</nobr>"
107_T,Kill one adjacent normal enemy that is adjacent to none of its allies and also adjacent to any <nobr>of your allies.</nobr>
108_T,Add +2 Attack <size=130%><voffset=-1.5><sprite name=Attack></voffset></size> to all your attacks targeting enemies with <nobr>POISON <sprite name=Poison>.</nobr>
110_T,Add +4 Attack <sprite name=Attack> and gain <sprite name=XP2> when the target is adjacent to any of your allies.
111_B,"On your next attack targeting an enemy adjacent to none of its allies and also adjacent to any of your allies, double the value of the attack and gain <sprite name=XP2>."
111_T,Target one enemy within <nobr>Range <sprite name=Range> 3</nobr> to suffer the effects of the disarmed trap.
113_B,Kill one adjacent enemy whose current hit point value is equal or less than 3.
114_B,"Force one adjacent normal or elite enemy to perform its turn this round as if its allies were enemies and its enemies were allies, with you controlling the actions."
115_T,Add <nobr>POISON <sprite name=Poison></nobr> and <nobr>WOUND <sprite name=Wound></nobr> to all your attacks.
116_B,"On the next six melee attacks targeting you, gain <nobr>Retaliate <sprite name=Retaliate> *BRetaliate*.</nobr>"
118_B,Create two single-hex obstacles in empty hexes adjacent to you.
119_B,All adjacent allies and enemies suffer *BDamage* damage.
120_T,All allies and enemies adjacent to the target suffer 1 damage.
121_T,"On your next four ranged Attack actions, gain ADD TARGET <size=130%><voffset=-1.5><sprite name=Target>."
122_T,Destroy one adjacent obstacle.
123_B,All allies suffer *BShieldSubDamage* damage.
123_T_2,All adjacent allies suffer *TDamage* damage.
124_B_1,All adjacent allies and enemies suffer *BDamage1* damage.
124_B_2,All adjacent allies and enemies suffer *BDamage2* damage.
124_B_3,"<nobr>2 damage instead, <sprite name=XP1></nobr>"
125_T,<nobr>MUDDLE <size=130%><voffset=-1.5><sprite name=Muddle></voffset></size></nobr> all allies and enemies in the targeted area.
127_B,Add +1 Attack <sprite name=Attack> to all of your ranged attacks this round.
127_T,"You may push the target into hexes containing obstacles. In each case, destroy the obstacle, the target suffers 2 damage, and you gain <sprite name=XP1>."
128_B,Add +2 Attack <sprite name=Attack> to all of your melee attacks this round.
129_B,"On your next six ranged Attack actions when Air <sprite name=Air> is strong or waning, consume Air <sprite name=ConsumeAir> to add <nobr>+2 Range <sprite name=Range>.</nobr>"
130_T,Target all enemies adjacent to the destroyed obstacle
131_T,Affect all allies in the targeted area
132_B,Destroy all obstacles and disarm all traps moved through.
132_T_1,Move one adjacent single-hex obstacle to an empty hex within Range <sprite name=Range> 4.
132_T_2,Target all enemies adjacent to the moved obstacle
134_T_1,Create three single-hex obstacles in empty hexes within Range <sprite name=Range> 4.
134_T_2,All allies and enemies adjacent to one or more of the created obstacles suffer 2 damage.
136_T_1,Kill one normal enemy within <nobr>Range <sprite name=Range> 4.</nobr>
136_T_2,Create one single-hex obstacle in the hex in which the enemy died.
137_B,"On your next four melee attacks, when possible, destroy an adjacent obstacle to add +3 Attack <sprite name=Attack>."
138_T,Create one 2 damage STUN <size=130%><voffset=-1.5><sprite name=Stun></voffset></size> trap in an adjacent empty hex.
139_T,IMMOBILIZE <size=130%><voffset=-1.5><sprite name=Immobilize></voffset></size> all allies and enemies in the targeted area.
140_T_1,Create one three-hex triangular obstacle in empty hexes within Range <sprite name=Range> 3.
140_T_2,Target all enemies adjacent to the obstacle
141_B_1,Add +1 Attack <sprite name=Attack> to all of your ranged attacks this round.
141_B_1_Alt,Add +2 Attack <sprite name=Attack> to all of your ranged attacks this round.
141_B_2,"Add +2 Attack <sprite name=Attack> instead, <sprite name=XP1>."
141_T,"For each hex you cannot push the target because of a wall or obstacle, the target suffers 2 damage and you gain <sprite name=XP1>."
142_B,The movement must end in a hex adjacent to an obstacle.
142_T_1,Destroy all obstacles within <nobr>Range <sprite name=Range> 2.</nobr>
142_T_2,where X is twice the number of hexes the destroyed obstacles occupied.
143_B,"At the start of your next five turns, perform a <nobr>""Heal <sprite name=Heal> 2,</nobr> <nobr>Range <sprite name=Range> 2"" action.</nobr>"
144_B,All allies and enemies adjacent to any hexes you enter during the movement suffer 2 damage.
144_T,All allies and enemies adjacent to the target suffer damage equal to the damage the target suffered.
145_T,"You may push the targets into hexes containing obstacles. In each case, the obstacle is destroyed, the target suffers 2 damage, and you gain <sprite name=XP1>."
146_B_1,Force one enemy within <nobr>Range <sprite name=Range> 5 </nobr> to perform
146_B_2,targeting another enemy with you controlling the action.
146_T,Add +1 Attack <sprite name=Attack> for each negative condition on the target.
149_B,"If you end the movement in the same hex you started in, perform"
149_T_A,<nobr> <color=#A7B3D2>Augments</color> <sprite name=AA_Mindthief>: </nobr> Gain <nobr>Shield <sprite name=Shield> 1</nobr>
150_T,Summon Plague Rat
152_B,Force one enemy within <nobr>Range <sprite name=Range> 4 </nobr> to perform
154_T,Add +2 Attack <sprite name=Attack> and gain <sprite name=XP1> for each negative condition on the target.
157_B,One ally within <nobr>Range <sprite name=Range> 3</nobr> may perform:
157_T,One adjacent ally may perform:
159_T,Summon Monstrous Rat
160_B,Force one normal or elite enemy within <nobr>Range <sprite name=Range> 3</nobr> to perform its turn this round as if its allies were enemies and its enemies were allies.
163_T,Gain one additional money token for each adjacent enemy
164_T_1,Kill one normal enemy within <nobr>Range <sprite name=Range> 4.</nobr>
164_T_2,Target all enemies adjacent to the killed enemy
165_B,"You may have two <nobr> <color=#A7B3D2>Augments</color> <sprite name=AA_Mindthief> </nobr>active at once. If a third <nobr> <color=#A7B3D2>Augment</color> <sprite name=AA_Mindthief></nobr> is played, discard one of the others."
166_B,Force one enemy within <nobr>Range <sprite name=Range> 5 </nobr> to perform
170_B,All your ranged attacks gain the effects of your <nobr> <color=#A7B3D2>Augments</color> <sprite name=AA_Mindthief> </nobr> this round. 
172_B,"Force one normal or elite enemy within <nobr>Range <sprite name=Range> 5</nobr> to perform its turn this round as if its allies were enemies and its enemies were allies, with you controlling the actions."
172_T_1,One adjacent ally may perform:
172_T_2,This attack gains the effects of your <nobr> <color=#A7B3D2>Augments</color> <sprite name=AA_Mindthief> </nobr>.
173_B,"All allies within <nobr>Range <sprite name=Range> 2</nobr> add <nobr>+X Attack</nobr> to all their attacks this round, where X is the number of your allies within <nobr>Range <sprite name=Range> 2</nobr> of you."
173_T_1,Summon Rat King
173_T_2,X is half of <nobr>Rat King's</nobr> current health (rounded up).
326_T,You may suffer 2 damage to add <nobr>STUN <sprite name=Stun></nobr> and gain <sprite name=XP1>.
334_T,Increase the value of each of your <nobr>Retaliate <sprite name=Retaliate></nobr> abilities by 2 this round.
337_B,Gain advantage on all of your attacks this round. All attacks targeting you gain Disadvantage this round.
346_T,"On the next five sources of damage to you, suffer no damage instead."
348_T,All allies add +1 Attack <sprite name=Attack> to one of their attacks each turn.
349_B,"The next time any ally within Range <sprite name=Range> 2 suffers damage this round, they suffer no damage instead."
350_T,All allies add +1 Move <sprite name=Move> to all thier Move actions and add +1 Range <sprite name=Range> ro all their ranged attacks.
352_B,One ally within <nobr>Range <sprite name=Range> 3</nobr> may perform
354_B,"Force all enemies in the targeted area to perform a <nobr>""Move <sprite name=Move> 1""</nobr> action with you controlling the actions."
356_T,One ally within <nobr>Range <sprite name=Range> 3</nobr> may perform
357_T,All allies add <nobr>WOUND <sprite name=Wound></nobr> to their attacks.
358_T,"The next five times you <nobr>CURSE <sprite name=Curse></nobr> an enemy, <nobr>CURSE <sprite name=Curse></nobr> them an additional time."
361_T,Target all enemies within <nobr>Range <sprite name=Range> 3</nobr>.
366_T,"You may have two <nobr> <color=#A7B3D2>Songs</color> <sprite name=AA_Soothsinger> </nobr>active at once. If a third <nobr> <color=#A7B3D2>Song</color> <sprite name=AA_Soothsinger></nobr> is played, discard one of the others."
367_T,"All allies may perform a  <nobr>""Move <sprite name=Move> 1""</nobr> action before any of their Attack actions."
371_B,All allies within <nobr>Range <sprite name=Range> 3</nobr> may perform
373_B,"Force all enemies in the targeted area to perform a <nobr>""Move <sprite name=Move> 2""</nobr> action with you controlling the actions."
373_T,One ally within <nobr>Range <sprite name=Range> 3</nobr> may perform
374_T,All allies add +1 Attack <sprite name=Attack> to all their attacks.
375_B,Two allies within <nobr>Range <sprite name=Range> 5</nobr> may perform.
375_T,"Force all enemies moved through to perform an ""Attack  <sprite name=Attack> 3"" action targeting another enemy with you controlling the actions."
449_B,"Once during each of your Attack actions, you may <voffset=-3><size=150%><sprite name=ConsumeAny></size></voffset> to add +1 "
450_B_1,"<line-height=100%>At the end of each of your turns, you may generate <voffset=-3><size=150%><sprite name=Any></size></voffset>."
450_B_2,Deduct -1 Attack <sprite name=Attack> from all your attacks.
459_B,All attacks targeting you gain Disadvantage this round.
459_T,Affect one ally within <nobr>Range <sprite name=Range> 3.</nobr>
463_T_1,"Attack <sprite name=Attack> X-1 on a new enemy within <nobr>Range <sprite name=Range> 2</nobr> of the first target, then Attack <sprite name=Attack> X-2 on a third enemy within <nobr>Range <sprite name=Range> 2</nobr> of the second target"
463_T_2,Attack <sprite name=Attack> X-3 on a fourth enemy within <nobr>Range <sprite name=Range> 2</nobr> of the third target
468_T,Target all enemies within <nobr>Range <sprite name=Range> 2</nobr> of the healed figure.
470_T,"Kill all normal <nobr>targets instead, <sprite name=XP1></nobr>."
471_T,The healed figure may Recover <sprite name=Recover> one of their discarded cards.
474_B,Perform any of the following abilities:
474_T,Summon Mana Sphere
538,Create a *Trap1* damage trap in an adjacent empty hex closest to an enemy.
542,Add <nobr>+2 Attack <sprite name=Attack> </nobr>if the target is adjacent to any of the Hound’s allies.
569,Living Corpse suffers *Damage1* damage.
609,Cultist suffers *Damage1* damage.
620,Target all enemies within Range <sprite name=Range> 2
627,Frost Demon suffers *CFireDamage* damage.
633,Flame Demon suffers *CIceDamage* damage.
634,All adjacent enemies suffer 2 damage.
636,Target all enemies within Range <sprite name=Range> 3
667,All adjacent enemies and allies suffer *Damage1* damage.
684,Add +2 Attack <sprite name=Attack> if the target is adjacent to any of the Giant Viper's allies.
ABILITY_CARD_AMomentsPeace,A Moment's Peace
ABILITY_CARD_AcceleratedEnd,Accelerated End
ABILITY_CARD_AidFromtheAether,Aid From the Ether
ABILITY_CARD_AirborneToxin,Airborne Toxin
ABILITY_CARD_Amputate,Amputate
ABILITY_CARD_AncientWard,Ancient Ward
ABILITY_CARD_AngelicAscension,Angelic Ascension
ABILITY_CARD_AngelofDeath,Angel of Death
ABILITY_CARD_ArmoroftheNight,Armor of the Night
ABILITY_CARD_AutoTurret,Auto Turret
ABILITY_CARD_Avalanche,Avalanche
ABILITY_CARD_Backstab,Backstab
ABILITY_CARD_BackupAmmunition,Backup Ammunition
ABILITY_CARD_BagofHolding,Bag of Holding
ABILITY_CARD_BalancedMeasure,Balanced Measure
ABILITY_CARD_BanefulHex,Baneful Hex
ABILITY_CARD_BattlefieldMedicine,Battlefield Medicine
ABILITY_CARD_BeaconofLight,Beacon of Light
ABILITY_CARD_BedsideManner,Bedside Manner
ABILITY_CARD_BitingGnats,Biting Gnats
ABILITY_CARD_BitingWind,Biting Wind
ABILITY_CARD_BlackArrow,Black Arrow
ABILITY_CARD_BlackFire,Black Fire
ABILITY_CARD_BlackHole,Black Hole
ABILITY_CARD_BlackKnives,Black Knives
ABILITY_CARD_BlackTides,Black Tides
ABILITY_CARD_BladedBoomerang,Bladed Boomerang
ABILITY_CARD_BlindDestruction,Blind Destruction
ABILITY_CARD_BlisteringVortex,Blistering Vortex
ABILITY_CARD_BloodHunger,Blood Hunger
ABILITY_CARD_BloodPact,Blood Pact
ABILITY_CARD_BloodTransfusion,Blood Transfusion
ABILITY_CARD_BloodySaw,Bloody Saw
ABILITY_CARD_BluntForce,Blunt Force
ABILITY_CARD_BoilingArc,Boiling Arc
ABILITY_CARD_BondedMight,Bonded Might
ABILITY_CARD_BoneBreaker,Bone Breaker
ABILITY_CARD_BoomingProclamation,Booming Proclamation
ABILITY_CARD_BoosterShot,Booster Shot
ABILITY_CARD_BorrowedEssence,Borrowed Essence
ABILITY_CARD_BounceBack,Bounce Back
ABILITY_CARD_BrainLeech,Brain Leech
ABILITY_CARD_BreaktheChains,Break the Chains
ABILITY_CARD_BrightAegis,Bright Aegis
ABILITY_CARD_BrilliantFlash,Brilliant Flash
ABILITY_CARD_BrilliantPrayer,Brilliant Prayer
ABILITY_CARD_BrutalMomentum,Brutal Momentum
ABILITY_CARD_BruteForce,Brute Force
ABILITY_CARD_Burial,Burial
ABILITY_CARD_BurningFlash,Burning Flash
ABILITY_CARD_BurningHatred,Burning Hatred
ABILITY_CARD_BurningOil,Burning Oil
ABILITY_CARD_CalltoAction,Call to Action
ABILITY_CARD_Camouflage,Camouflage
ABILITY_CARD_CaptivatingPerformance,Captivating Performance
ABILITY_CARD_CarelessCharge,Careless Charge
ABILITY_CARD_Cataclysm,Cataclysm
ABILITY_CARD_CatastrophicBomb,Catastrophic Bomb
ABILITY_CARD_Cauterize,Cauterize
ABILITY_CARD_CautiousAdvance,Cautious Advance
ABILITY_CARD_ChainLightning,Chain Lightning
ABILITY_CARD_ChangeTempo,Change Tempo
ABILITY_CARD_ChimericFormula,Chimeric Formula
ABILITY_CARD_ChromaticExplosion,Chromatic Explosion
ABILITY_CARD_ClawsoftheNight,Claws of the Night
ABILITY_CARD_CleansingForce,Cleansing Force
ABILITY_CARD_CleartheWay,Clear the Way
ABILITY_CARD_CleavingAxe,Cleaving Axe
ABILITY_CARD_CloakofShade,Cloak of Shade
ABILITY_CARD_ColdFire,Cold Fire
ABILITY_CARD_ColdFront,Cold Front
ABILITY_CARD_CommandingPresence,Commanding Presence
ABILITY_CARD_ConcealedDominance,Concealed Dominance
ABILITY_CARD_ConcentratedRage,Concentrated Rage
ABILITY_CARD_ConjuredAid,Conjured Aid
ABILITY_CARD_ContinualSupply,Continual Supply
ABILITY_CARD_ConverttheFlock,Convert the Flock
ABILITY_CARD_CorruptingEmbrace,Corrupting Embrace
ABILITY_CARD_CracklingAir,Crackling Air
ABILITY_CARD_CraniumOverload,Cranium Overload
ABILITY_CARD_CrankBow,Crank Bow
ABILITY_CARD_CrashingWave,Crashing Wave
ABILITY_CARD_Crater,Crater
ABILITY_CARD_CreepingCurse,Creeping Curse
ABILITY_CARD_CripplingBow,Crippling Bow
ABILITY_CARD_CripplingChorus,Crippling Chorus
ABILITY_CARD_CripplingNoose,Crippling Noose
ABILITY_CARD_CripplingOffensive,Crippling Offensive
ABILITY_CARD_CripplingPoison,Crippling Poison
ABILITY_CARD_CrushingGrasp,Crushing Grasp
ABILITY_CARD_CrushingHammer,Crushing Hammer
ABILITY_CARD_CrystallizingBlast,Crystallizing Blast
ABILITY_CARD_CulltheWeak,Cull the Weak
ABILITY_CARD_CurativeAerosol,Curative Aerosol
ABILITY_CARD_CurativeMixture,Curative Mixture
ABILITY_CARD_DancingShadows,Dancing Shadows
ABILITY_CARD_DangerousContraption,Dangerous Contraption
ABILITY_CARD_DarkCloud,Dark Cloud
ABILITY_CARD_DarkFrenzy,Dark Frenzy
ABILITY_CARD_DarkenedSkies,Darkened Skies
ABILITY_CARD_Daybreak,Daybreak
ABILITY_CARD_DazingWound,Dazing Wound
ABILITY_CARD_DazzlingCharge,Dazzling Charge
ABILITY_CARD_DefensiveDitty,Defensive Ditty
ABILITY_CARD_DefensiveStance,Defensive Stance
ABILITY_CARD_DefensiveTactics,Defensive Tactics
ABILITY_CARD_DefianceofDeath,Defiance of Death
ABILITY_CARD_Detonation,Detonation
ABILITY_CARD_DevastatingHack,Devastating Hack
ABILITY_CARD_DevilHorns,Devil Horns
ABILITY_CARD_DigPit,Dig Pit
ABILITY_CARD_DirtTornado,Dirt Tornado
ABILITY_CARD_DisappearingWounds,Disappearing Wounds
ABILITY_CARD_DisintegrationBeam,Disintegration Beam
ABILITY_CARD_DisorientingDirge,Disorienting Dirge
ABILITY_CARD_DisorientingFlash,Disorienting Flash
ABILITY_CARD_DisorientingRoar,Disorienting Roar
ABILITY_CARD_DividedMind,Divided Mind
ABILITY_CARD_DivineIntervention,Divine Intervention
ABILITY_CARD_DoNoHarm,Do No Harm
ABILITY_CARD_Domination,Domination
ABILITY_CARD_DoomedBreeze,Doomed Breeze
ABILITY_CARD_DuelistsAdvance,Duelist's Advance
ABILITY_CARD_EarthenClod,Earthen Clod
ABILITY_CARD_EarthenSpikes,Earthen Spikes
ABILITY_CARD_EarthenSteed,Earthen Steed
ABILITY_CARD_EchoingAria,Echoing Aria
ABILITY_CARD_ElementalAegis,Elemental Aegis
ABILITY_CARD_ElementalAid,Elemental Aid
ABILITY_CARD_EmpatheticAssault,Empathetic Assault
ABILITY_CARD_EmpoweringCommand,Empowering Command
ABILITY_CARD_EmpoweringVoid,Empowering Void
ABILITY_CARD_EncompassingShadow,Encompassing Shadow
ABILITY_CARD_EndlessSpikes,Endless Spikes
ABILITY_CARD_EnergizingStrike,Energizing Strike
ABILITY_CARD_EnergizingTonic,Energizing Tonic
ABILITY_CARD_EnervatingWound,Enervating Wound
ABILITY_CARD_EngulfedinFlames,Engulfed in Flames
ABILITY_CARD_EngulfingRadiance,Engulfing Radiance
ABILITY_CARD_EnhancementField,Enhancement Field
ABILITY_CARD_Epidemic,Epidemic
ABILITY_CARD_EternalEquilibrium,Eternal Equilibrium
ABILITY_CARD_EtherealManifestation,Ethereal Manifestation
ABILITY_CARD_EtherealVines,Ethereal Vines
ABILITY_CARD_Euthanize,Euthanize
ABILITY_CARD_ExplosivePunch,Explosive Punch
ABILITY_CARD_Expose,Expose
ABILITY_CARD_EyeforanEye,Eye for an Eye
ABILITY_CARD_EyeoftheHurricane,Eye of the Hurricane
ABILITY_CARD_EyesoftheNight,Eyes of the Night
ABILITY_CARD_FaceYourEnd,Face Your End
ABILITY_CARD_FatalAdvance,Fatal Advance
ABILITY_CARD_FatalFury,Fatal Fury
ABILITY_CARD_FearsomeBlade,Fearsome Blade
ABILITY_CARD_FeedbackLoop,Feedback Loop
ABILITY_CARD_FellingSwoop,Felling Swoop
ABILITY_CARD_FeralInstincts,Feral Instincts
ABILITY_CARD_FetidFlurry,Fetid Flurry
ABILITY_CARD_FinalFight,Final Fight
ABILITY_CARD_FireOrbs,Fire Orbs
ABILITY_CARD_FirstAid,First Aid
ABILITY_CARD_FlameStrike,Flame Strike
ABILITY_CARD_Flamethrower,Flamethrower
ABILITY_CARD_FlankingStrike,Flanking Strike
ABILITY_CARD_FlashingBurst,Flashing Burst
ABILITY_CARD_FlightofFlame,Flight of Flame
ABILITY_CARD_Flintlock,Flintlock
ABILITY_CARD_FlurryofAxes,Flurry of Axes
ABILITY_CARD_FlurryofBlades,Flurry of Blades
ABILITY_CARD_FocusedAggression,Focused Aggression
ABILITY_CARD_FootSnare,Foot Snare
ABILITY_CARD_ForcefulStorm,Forceful Storm
ABILITY_CARD_ForcefulSwipe,Forceful Swipe
ABILITY_CARD_ForgedFerocity,Forged Ferocity
ABILITY_CARD_ForkedBeam,Forked Beam
ABILITY_CARD_FormlessPower,Formless Power
ABILITY_CARD_FortifiedPosition,Fortified Position
ABILITY_CARD_FoulWind,Foul Wind
ABILITY_CARD_FreezingNova,Freezing Nova
ABILITY_CARD_FrenziedOnslaught,Frenzied Onslaught
ABILITY_CARD_FreshKill,Fresh Kill
ABILITY_CARD_FrighteningCurse,Frightening Curse
ABILITY_CARD_FrigidApparition,Frigid Apparition
ABILITY_CARD_FrigidTorrent,Frigid Torrent
ABILITY_CARD_FromtheBrink,From the Brink
ABILITY_CARD_FrostArmor,Frost Armor
ABILITY_CARD_FrozenMind,Frozen Mind
ABILITY_CARD_FrozenNight,Frozen Night
ABILITY_CARD_FuriousAid,Furious Aid
ABILITY_CARD_GasCanister,Gas Canister
ABILITY_CARD_GatheringDoom,Gathering Doom
ABILITY_CARD_GentlemansAnger,Gentleman's Anger
ABILITY_CARD_GiantClub,Giant Club
ABILITY_CARD_GlassHammer,Glass Hammer
ABILITY_CARD_GloomDarts,Gloom Darts
ABILITY_CARD_GloriousBolt,Glorious Bolt
ABILITY_CARD_GnawingHorde,Gnawing Horde
ABILITY_CARD_GrabandGo,Grab and Go
ABILITY_CARD_GraspingVermin,Grasping Vermin
ABILITY_CARD_GraspingtheVoid,Grasping the Void
ABILITY_CARD_GravelVortex,Gravel Vortex
ABILITY_CARD_GrimBargain,Grim Bargain
ABILITY_CARD_GrimSustenance,Grim Sustenance
ABILITY_CARD_GrislyTrauma,Grisly Trauma
ABILITY_CARD_GrowingRage,Growing Rage
ABILITY_CARD_GruesomeAdvantage,Gruesome Advantage
ABILITY_CARD_HammerBlow,Hammer Blow
ABILITY_CARD_Hamstring,Hamstring
ABILITY_CARD_HandoftheSurgeon,Hand of the Surgeon
ABILITY_CARD_HardenedSpikes,Hardened Spikes
ABILITY_CARD_HarmlessContraption,Harmless Contraption
ABILITY_CARD_HarshStimulants,Harsh Stimulants
ABILITY_CARD_HastenedStep,Hastened Step
ABILITY_CARD_HeavingSwing,Heaving Swing
ABILITY_CARD_HiddenDaggers,Hidden Daggers
ABILITY_CARD_HoldBackthePain,Hold Back the Pain
ABILITY_CARD_HolyStrike,Holy Strike
ABILITY_CARD_HookGun,Hook Gun
ABILITY_CARD_HookandChain,Hook and Chain
ABILITY_CARD_HornedMajesty,Horned Majesty
ABILITY_CARD_HostileTakeover,Hostile Takeover
ABILITY_CARD_HowlingBolts,Howling Bolts
ABILITY_CARD_IceSpikes,Ice Spikes
ABILITY_CARD_IcyBlast,Icy Blast
ABILITY_CARD_IlluminatetheTarget,Illuminate the Target
ABILITY_CARD_Immortality,Immortality
ABILITY_CARD_ImmovablePhalanx,Immovable Phalanx
